======================================================
  RELATÓRIO MASSIVO: PRIMEIRA PATRULHA (mission_1)
  Inimigos: 2x (HP:5 ATK:1)
======================================================



### PROGRESSÃO: DIA 0 ###

[ESTÁGIO] Solos - Dia 0
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| Guerreiro + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.7                | 0.0%               |
| Guerreiro + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.5                | 0.0%               |
| Tanque + Tanque + Tanque | 100.0%             | 0.0%               | 0.0%               | 4.5                | 2.6                | 0.0%               |
| Tanque + Tanque + Ladino | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.3                | 0.0%               |
| Tanque + Tanque + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 3.3                | 1.1                | 0.0%               |
| Tanque + Tanque + Mago | 100.0%             | 0.0%               | 0.0%               | 3.5                | 1.2                | 0.0%               |
| Tanque + Tanque + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.7                | 1.5                | 0.0%               |
| Tanque + Ladino + Ladino | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.8                | 0.0%               |
| Tanque + Ladino + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.6                | 0.5                | 0.0%               |
| Tanque + Ladino + Mago | 100.0%             | 0.0%               | 0.0%               | 2.6                | 0.6                | 0.0%               |
| Tanque + Ladino + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.9                | 0.0%               |
| Tanque + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.4                | 0.0%               |
| Tanque + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.9                | 0.0%               |
| Tanque + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.2                | 1.0                | 0.0%               |
| Tanque + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.5                | 0.0%               |
| Tanque + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.9                | 1.9                | 0.0%               |
| Tanque + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.8                | 0.0%               |
| Ladino + Ladino + Ladino | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.2                | 0.0%               |
| Ladino + Ladino + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Ladino + Ladino + Mago | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.3                | 0.0%               |
| Ladino + Ladino + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.2                | 0.0%               |
| Ladino + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.1                | 0.0%               |
| Ladino + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.1                | 0.0%               |
| Ladino + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.7                | 0.3                | 0.0%               |
| Ladino + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.2                | 0.0%               |
| Ladino + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.3                | 0.0%               |
| Ladino + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.4                | 0.0%               |
| Arqueiro + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.2                | 0.1                | 0.0%               |
| Arqueiro + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.2                | 0.1                | 0.0%               |
| Arqueiro + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Arqueiro + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 2.2                | 0.2                | 0.0%               |
| Arqueiro + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.7                | 0.3                | 0.0%               |
| Arqueiro + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.4                | 0.0%               |
| Mago + Mago + Mago   | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Mago + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.5                | 0.0%               |
| Mago + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.2                | 0.5                | 0.0%               |
| Curandeiro + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.5                | 0.0%               |



### PROGRESSÃO: DIA 5 ###

[ESTÁGIO] Solos - Dia 5
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| -------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro            | 100.0%             | 0.0%               | 0.0%               | 4.8                | 2.5                | 0.0%               |
| Tanque               | 99.8%              | 0.0%               | 0.2%               | 5.0                | 3.8                | 0.0%               |
| Ladino               | 100.0%             | 0.0%               | 0.0%               | 3.9                | 0.8                | 0.0%               |
| Arqueiro             | 100.0%             | 0.0%               | 0.0%               | 3.5                | 0.7                | 0.0%               |
| Mago                 | 100.0%             | 0.0%               | 0.0%               | 3.3                | 0.7                | 0.0%               |
| Curandeiro           | 100.0%             | 0.0%               | 0.0%               | 3.9                | 1.3                | 0.0%               |

[ESTÁGIO] Todas as Duplas Possíveis - Dia 5
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| -------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.4                | 0.0%               |
| Guerreiro + Tanque   | 100.0%             | 0.0%               | 0.0%               | 4.7                | 3.7                | 0.0%               |
| Guerreiro + Ladino   | 100.0%             | 0.0%               | 0.0%               | 3.3                | 0.8                | 0.0%               |
| Guerreiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.6                | 0.0%               |
| Guerreiro + Mago     | 100.0%             | 0.0%               | 0.0%               | 3.9                | 1.4                | 0.0%               |
| Guerreiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.0                | 0.0%               |
| Tanque + Tanque      | 99.8%              | 0.0%               | 0.2%               | 5.5                | 4.3                | 0.0%               |
| Tanque + Ladino      | 100.0%             | 0.0%               | 0.0%               | 3.7                | 1.6                | 0.0%               |
| Tanque + Arqueiro    | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.3                | 0.0%               |
| Tanque + Mago        | 100.0%             | 0.0%               | 0.0%               | 4.6                | 2.8                | 0.0%               |
| Tanque + Curandeiro  | 100.0%             | 0.0%               | 0.0%               | 4.8                | 3.5                | 0.0%               |
| Ladino + Ladino      | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.4                | 0.0%               |
| Ladino + Arqueiro    | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.3                | 0.0%               |
| Ladino + Mago        | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.3                | 0.0%               |
| Ladino + Curandeiro  | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.4                | 0.0%               |
| Arqueiro + Arqueiro  | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Arqueiro + Mago      | 100.0%             | 0.0%               | 0.0%               | 3.2                | 0.5                | 0.0%               |
| Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.3                | 0.6                | 0.0%               |
| Mago + Mago          | 100.0%             | 0.0%               | 0.0%               | 3.7                | 0.9                | 0.0%               |
| Mago + Curandeiro    | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.4                | 0.0%               |
| Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.2                | 0.0%               |

[ESTÁGIO] Todos os Trios Possíveis - Dia 5
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| -------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro | 100.0%             | 0.0%               | 0.0%               | 3.2                | 1.0                | 0.0%               |
| Guerreiro + Guerreiro + Tanque | 100.0%             | 0.0%               | 0.0%               | 3.9                | 2.4                | 0.0%               |
| Guerreiro + Guerreiro + Ladino | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.6                | 0.0%               |
| Guerreiro + Guerreiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.5                | 0.0%               |
| Guerreiro + Guerreiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.6                | 0.0%               |
| Guerreiro + Guerreiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.2                | 0.0%               |
| Guerreiro + Tanque + Tanque | 100.0%             | 0.0%               | 0.0%               | 4.4                | 3.0                | 0.0%               |
| Guerreiro + Tanque + Ladino | 100.0%             | 0.0%               | 0.0%               | 3.3                | 1.4                | 0.0%               |
| Guerreiro + Tanque + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 1.0                | 0.0%               |
| Guerreiro + Tanque + Mago | 100.0%             | 0.0%               | 0.0%               | 3.6                | 2.1                | 0.0%               |
| Guerreiro + Tanque + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.8                | 2.2                | 0.0%               |
| Guerreiro + Ladino + Ladino | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.5                | 0.0%               |
| Guerreiro + Ladino + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.6                | 0.3                | 0.0%               |
| Guerreiro + Ladino + Mago | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.7                | 0.0%               |
| Guerreiro + Ladino + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.2                | 0.8                | 0.0%               |
| Guerreiro + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.3                | 0.0%               |
| Guerreiro + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.3                | 0.0%               |
| Guerreiro + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.4                | 0.0%               |
| Guerreiro + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.3                | 0.0%               |
| Guerreiro + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.3                | 0.9                | 0.0%               |
| Guerreiro + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.3                | 0.9                | 0.0%               |
| Tanque + Tanque + Tanque | 100.0%             | 0.0%               | 0.0%               | 6.2                | 4.9                | 0.0%               |
| Tanque + Tanque + Ladino | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.2                | 0.0%               |
| Tanque + Tanque + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 3.3                | 1.1                | 0.0%               |
| Tanque + Tanque + Mago | 100.0%             | 0.0%               | 0.0%               | 3.9                | 2.0                | 0.0%               |
| Tanque + Tanque + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.5                | 0.0%               |
| Tanque + Ladino + Ladino | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.8                | 0.0%               |
| Tanque + Ladino + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.6                | 0.5                | 0.0%               |
| Tanque + Ladino + Mago | 100.0%             | 0.0%               | 0.0%               | 3.2                | 1.2                | 0.0%               |
| Tanque + Ladino + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.8                | 0.0%               |
| Tanque + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.4                | 0.0%               |
| Tanque + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.4                | 0.0%               |
| Tanque + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.7                | 0.0%               |
| Tanque + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.4                | 0.0%               |
| Tanque + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.5                | 0.0%               |
| Tanque + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.8                | 1.9                | 0.0%               |
| Ladino + Ladino + Ladino | 100.0%             | 0.0%               | 0.0%               | 2.7                | 0.3                | 0.0%               |
| Ladino + Ladino + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Ladino + Ladino + Mago | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.3                | 0.0%               |
| Ladino + Ladino + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.4                | 0.0%               |
| Ladino + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.1                | 0.0%               |
| Ladino + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.6                | 0.2                | 0.0%               |
| Ladino + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.6                | 0.2                | 0.0%               |
| Ladino + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 2.7                | 0.3                | 0.0%               |
| Ladino + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.4                | 0.0%               |
| Ladino + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.4                | 0.0%               |
| Arqueiro + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.2                | 0.1                | 0.0%               |
| Arqueiro + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Arqueiro + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.2                | 0.0%               |
| Arqueiro + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.2                | 0.0%               |
| Arqueiro + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Arqueiro + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.7                | 0.3                | 0.1%               |
| Mago + Mago + Mago   | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.5                | 0.0%               |
| Mago + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.4                | 0.0%               |
| Mago + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.4                | 0.0%               |
| Curandeiro + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.5                | 0.9                | 0.0%               |



### PROGRESSÃO: DIA 7 ###

[ESTÁGIO] Solos - Dia 7
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| -------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro            | 99.3%              | 0.0%               | 0.7%               | 4.9                | 2.7                | 0.0%               |
| Tanque               | 99.4%              | 0.0%               | 0.6%               | 4.8                | 3.7                | 0.0%               |
| Ladino               | 99.9%              | 0.0%               | 0.1%               | 3.9                | 0.8                | 0.0%               |
| Arqueiro             | 100.0%             | 0.0%               | 0.0%               | 3.4                | 0.7                | 0.0%               |
| Mago                 | 100.0%             | 0.0%               | 0.0%               | 3.3                | 0.6                | 0.0%               |
| Curandeiro           | 100.0%             | 0.0%               | 0.0%               | 3.9                | 1.4                | 0.0%               |

[ESTÁGIO] Todas as Duplas Possíveis - Dia 7
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| -------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.3                | 0.0%               |
| Guerreiro + Tanque   | 99.8%              | 0.0%               | 0.2%               | 5.4                | 4.5                | 0.3%               |
| Guerreiro + Ladino   | 100.0%             | 0.0%               | 0.0%               | 3.3                | 0.7                | 0.0%               |
| Guerreiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.7                | 0.0%               |
| Guerreiro + Mago     | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.7                | 0.0%               |
| Guerreiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.0                | 0.0%               |
| Tanque + Tanque      | 99.8%              | 0.0%               | 0.2%               | 5.6                | 4.4                | 0.0%               |
| Tanque + Ladino      | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.7                | 0.0%               |
| Tanque + Arqueiro    | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.3                | 0.0%               |
| Tanque + Mago        | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.3                | 0.0%               |
| Tanque + Curandeiro  | 100.0%             | 0.0%               | 0.0%               | 3.9                | 2.1                | 0.0%               |
| Ladino + Ladino      | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.4                | 0.0%               |
| Ladino + Arqueiro    | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.3                | 0.0%               |
| Ladino + Mago        | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.3                | 0.0%               |
| Ladino + Curandeiro  | 100.0%             | 0.0%               | 0.0%               | 3.7                | 0.7                | 0.0%               |
| Arqueiro + Arqueiro  | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Arqueiro + Mago      | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.3                | 0.6                | 0.0%               |
| Mago + Mago          | 100.0%             | 0.0%               | 0.0%               | 3.7                | 0.9                | 0.0%               |
| Mago + Curandeiro    | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.4                | 0.0%               |
| Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.7                | 0.0%               |

[ESTÁGIO] Todos os Trios Possíveis - Dia 7
| Classe/Grupo         | winRate            | lossRate           | timeoutRate        | avgRoundsWin       | avgHpLostWin       | incapacitatedRate  |
| -------------------- | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ | ------------------ |
| Guerreiro + Guerreiro + Guerreiro | 100.0%             | 0.0%               | 0.0%               | 3.2                | 0.9                | 0.0%               |
| Guerreiro + Guerreiro + Tanque | 100.0%             | 0.0%               | 0.0%               | 3.7                | 2.2                | 0.0%               |
| Guerreiro + Guerreiro + Ladino | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.6                | 0.0%               |
| Guerreiro + Guerreiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.5                | 0.0%               |
| Guerreiro + Guerreiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.6                | 0.0%               |
| Guerreiro + Guerreiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.5                | 1.1                | 0.0%               |
| Guerreiro + Tanque + Tanque | 99.9%              | 0.0%               | 0.1%               | 5.1                | 3.8                | 0.0%               |
| Guerreiro + Tanque + Ladino | 100.0%             | 0.0%               | 0.0%               | 3.3                | 1.4                | 0.0%               |
| Guerreiro + Tanque + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 1.0                | 0.0%               |
| Guerreiro + Tanque + Mago | 100.0%             | 0.0%               | 0.0%               | 3.6                | 2.1                | 0.0%               |
| Guerreiro + Tanque + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.8                | 2.3                | 0.0%               |
| Guerreiro + Ladino + Ladino | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.4                | 0.0%               |
| Guerreiro + Ladino + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.6                | 0.3                | 0.0%               |
| Guerreiro + Ladino + Mago | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.7                | 0.0%               |
| Guerreiro + Ladino + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.2                | 0.8                | 0.0%               |
| Guerreiro + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.3                | 0.0%               |
| Guerreiro + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.3                | 0.0%               |
| Guerreiro + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.4                | 0.0%               |
| Guerreiro + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.6                | 0.0%               |
| Guerreiro + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.1                | 0.6                | 0.0%               |
| Guerreiro + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.1                | 0.0%               |
| Tanque + Tanque + Tanque | 100.0%             | 0.0%               | 0.0%               | 4.7                | 2.9                | 0.0%               |
| Tanque + Tanque + Ladino | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.2                | 0.0%               |
| Tanque + Tanque + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 3.2                | 1.1                | 0.0%               |
| Tanque + Tanque + Mago | 100.0%             | 0.0%               | 0.0%               | 3.9                | 1.9                | 0.0%               |
| Tanque + Tanque + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.5                | 1.4                | 0.0%               |
| Tanque + Ladino + Ladino | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.8                | 0.0%               |
| Tanque + Ladino + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.6                | 0.5                | 0.0%               |
| Tanque + Ladino + Mago | 100.0%             | 0.0%               | 0.0%               | 2.6                | 0.6                | 0.0%               |
| Tanque + Ladino + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.3                | 0.0%               |
| Tanque + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.4                | 0.0%               |
| Tanque + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.9                | 0.0%               |
| Tanque + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.7                | 0.0%               |
| Tanque + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 3.4                | 1.3                | 0.0%               |
| Tanque + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.6                | 1.4                | 0.0%               |
| Tanque + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.9                | 2.0                | 0.0%               |
| Ladino + Ladino + Ladino | 100.0%             | 0.0%               | 0.0%               | 2.7                | 0.2                | 0.0%               |
| Ladino + Ladino + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.1                | 0.0%               |
| Ladino + Ladino + Mago | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.3                | 0.0%               |
| Ladino + Ladino + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.3                | 0.0%               |
| Ladino + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.3                | 0.1                | 0.0%               |
| Ladino + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.3                | 0.0%               |
| Ladino + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.7                | 0.3                | 0.0%               |
| Ladino + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.4                | 0.0%               |
| Ladino + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.3                | 0.0%               |
| Ladino + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.3                | 0.0%               |
| Arqueiro + Arqueiro + Arqueiro | 100.0%             | 0.0%               | 0.0%               | 2.2                | 0.1                | 0.0%               |
| Arqueiro + Arqueiro + Mago | 100.0%             | 0.0%               | 0.0%               | 2.5                | 0.2                | 0.0%               |
| Arqueiro + Arqueiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.2                | 0.0%               |
| Arqueiro + Mago + Mago | 100.0%             | 0.0%               | 0.0%               | 2.4                | 0.2                | 0.0%               |
| Arqueiro + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.7                | 0.3                | 0.0%               |
| Arqueiro + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.4                | 0.0%               |
| Mago + Mago + Mago   | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.5                | 0.0%               |
| Mago + Mago + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.9                | 0.4                | 0.0%               |
| Mago + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 2.8                | 0.4                | 0.0%               |
| Curandeiro + Curandeiro + Curandeiro | 100.0%             | 0.0%               | 0.0%               | 3.0                | 0.6                | 0.0%               |



Legenda:
- Win Rate: Taxa de vitória do grupo.
- Loss Rate: Taxa de derrota do grupo.
- Timeout Rate: Batalhas que atingiram o limite de rounds.
- Avg Rounds (Win): Média de rounds para vencer.
- Avg HP Lost (Win): HP total perdido pelo grupo em vitórias.
- Incapacitated Rate: Porcentagem de heróis do grupo com HP < 3 após a missão.
